127.0.0.1 - - [29/Oct/2021:09:09:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:12:42 +0530] "GET /student_profile/feed HTTP/1.1" 200 43849
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:12:42 +0530] "GET /media/avatars/zen.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:12:42 +0530] "GET /media/avatars/girl1.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:12:42 +0530] "GET /media/icons/feed.png HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:34:22 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:34:43 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:34:43 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:34:50 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:34:52 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:35:00 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:35:02 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:35:03 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:35:04 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:35:05 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:35:06 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:35:07 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:35:07 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:45:06 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:45:07 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:45:08 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:45:08 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:45:19 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:45:20 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:45:21 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:45:21 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:45:36 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:45:37 +0530] "GET /student_profile/signup HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:45:48 +0530] "GET /student_profile/signin HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:45:49 +0530] "GET /student_profile/signin HTTP/1.1" 404 777
